title,news_url,image_url,text,sentiment,type,source_name,date,topics
"Cramer, DataTrek's Colas Talk Lyft Ahead Of Anticipated IPO",http://feeds.benzinga.com/~r/benzinga/~3/Jm55QoH4LFw/cramer-datatreks-colas-talk-lyft-ahead-of-anticipated-ipo,https://cdn.snapi.dev/images/v1/l/y/lyft-presskit-18-2.jpg,"This year will be a busy one for IPOs, but it pales in comparison to the ""heyday"" of the 1990s, DataTrek Research co-founder Nick Colas said.",Negative,Article,Benzinga,"Mon, 25 Mar 2019 15:22:32 -0400",
"Stocks typically outperform for a long time even when the bond market is flashing recession signal",https://www.cnbc.com/2019/03/25/stocks-typically-outperform-for-a-long-time-even-when-the-bond-market-is-flashing-recession-signal.html,https://cdn.snapi.dev/images/v1/1/0/102823132-nyse-traders-2530x298.jpg,"Some investors may be freaked out over the recession signal being sent by interest rates, but if history is a guide, there is still time to capture more gains in the stock market.",Neutral,Article,CNBC,"Mon, 25 Mar 2019 14:38:37 -0400",
"Robinhood's First Acquisition Is Millennial-Focused Podcast And Newsletter MarketSnacks",http://feeds.benzinga.com/~r/benzinga/~3/HdDpwfC8vJc/robinhoods-first-acquisition-is-millennial-focused-podcast-and-newsletter-mar,https://cdn.snapi.dev/images/v1/c/a/capture-1.jpg,"Commission-free stock trading app Robinhood announced the acquisition Monday of millennial-focused podcast and newsletter company MarketSnacks.",Positive,Article,Benzinga,"Mon, 25 Mar 2019 13:23:52 -0400",manda
"Josh Brown: The US has never imported a recession and the consumer is 'on fire'",https://www.cnbc.com/2019/03/25/josh-brown-the-us-has-never-imported-a-recession-and-the-consumer-is-on-fire.html,https://cdn.snapi.dev/images/v1/e/t/etf39.jpg,"Recession fears have been reignited amid weakening global conditions, but recessions have never been contagious and the U.S. is doing just fine, according to Josh Brown.",Positive,Article,CNBC,"Mon, 25 Mar 2019 13:16:00 -0400",
"The FDA Proposes Tough New E-Cig Regulations",https://www.fool.com/investing/2019/03/25/the-fda-proposes-tough-new-e-cig-regulations.aspx?source=iedfolrf0000001,https://cdn.snapi.dev/images/v1/u/r/urlhttps3a2f2fgfoolcdncom2feditorial2fimages2f5163532fe-cig-vaping-teen-getty.jpeg,"Teen use is the focal point of the new restrictions.",Positive,Article,"The Motley Fool","Mon, 25 Mar 2019 11:16:00 -0400",
"What Is A Recession Anyway?",https://www.forbes.com/sites/leonlabrecque/2019/03/25/what-is-a-recession-anyway/,https://cdn.snapi.dev/images/v1/r/e/rec6.jpg,"Here's a new perspective on recessions: They're opportunities. Let's look at some ideas on how you can prepare for a recession and be ready to capitalize on those opportunities.",Neutral,Article,Forbes,"Mon, 25 Mar 2019 11:09:00 -0400",
"The US bond yield curve has inverted. Here's what it means",https://www.cnbc.com/2019/03/25/the-us-bond-yield-curve-has-inverted-heres-what-it-means.html,https://cdn.snapi.dev/images/v1/e/t/etf48.jpg,"One of the most reliable recession indicators in the market got triggered on Friday and investors across the globe are starting to worry.",Negative,Article,CNBC,"Mon, 25 Mar 2019 10:19:00 -0400",
"Uber May Buy Middle East Cab Hailing Rival Careem For $3.1 Billion",http://feeds.benzinga.com/~r/benzinga/~3/RjBgZSmf47Q/uber-may-buy-middle-east-cab-hailing-rival-careem-for-3-1-billion,https://cdn.snapi.dev/images/v1/a/p/app-2941689-1920-5.jpg,"In a surprising move during the run-up to its initial public offering (IPO), Uber is reportedly in talks with its Middle Eastern on-demand cab hailing rival Careem to buy it for $3.1 billion, in a deal that is expected to be finalized early this week.",Positive,Article,Benzinga,"Mon, 25 Mar 2019 10:01:24 -0400",
"What You Need to Know About the Pinterest IPO",http://feedproxy.google.com/~r/typepad/RyNm/~3/kPxbXSuEq2A/,https://cdn.snapi.dev/images/v1/p/i/pinterest11.jpg,"Pinterest has filed an S-1 form with the U.S. Securities and Exchange Commission (SEC) regarding its initial public offering (IPO).",Neutral,Article,"24/7 Wall Street","Mon, 25 Mar 2019 09:55:55 -0400",
"Lyft IPO From A Value Investor's Perspective",https://www.forbes.com/sites/garymishuris/2019/03/25/lyft-ipo-from-a-value-investors-perspective/,https://cdn.snapi.dev/images/v1/l/y/lyft112.jpg,"Lyft’s IPO promises to be one of the biggest initial public offerings of 2019.  The principles of fundamental analysis and value investing apply to all companies, no matter how exciting, so let’s break down what we know about the Lyft IPO using the tried and true value investing approach.",Neutral,Article,Forbes,"Mon, 25 Mar 2019 09:25:00 -0400",
"Morgan Stanley: Get defensive because the inverted yield curve is sending a message",https://www.cnbc.com/2019/03/25/morgan-stanley-get-defensive-inverted-yield-curve-sending-a-message.html,https://cdn.snapi.dev/images/v1/1/0/105657803-1546528102088rtx6fgq5530x298.jpg,"Investors should ""remain defensively positioned"" on stocks, Morgan Stanley's equity strategist Michael Wilson said on Monday.",Negative,Article,CNBC,"Mon, 25 Mar 2019 09:04:00 -0400",
"Here's what Warren Buffett thinks about climate change and investing",https://www.cnbc.com/2019/03/25/heres-what-warren-buffett-thinks-about-climate-change-and-investing.html,https://cdn.snapi.dev/images/v1/1/0/104979580-rsz-buffchina1530x298.jpg,"Warren Buffett, Berkshire Hathaway CEO, owns many businesses exposed to climate change risks, from utilities to insurance companies.",Positive,Article,CNBC,"Mon, 25 Mar 2019 09:00:00 -0400",wbuffett
"Tradeweb to offer 27.3 million shares in IPO priced at $24 to $26 each",http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/bZRAQ3ZNKj0/story.aspx,https://cdn.snapi.dev/images/v1/t/r/trade55.jpg,"Tradeweb Markets Inc., an operator of electronic marketplaces, set the terms for its planned initial public offering on Monday.",Positive,Article,"Market Watch","Mon, 25 Mar 2019 06:35:26 -0400",
"Tim Mullaney: Why you should let the Lyft IPO go by, and grab it when it comes around again",http://feeds.marketwatch.com/~r/marketwatch/internet/~3/bOk6yXtQrTE/story.asp,https://cdn.snapi.dev/images/v1/m/w/mw-hg226-lyft-0-20190322142716-mg.jpg,"Looking at Lyft’s numbers, Tim Mullaney says he’d pass on the IPO and buy in later at a lower price.",Negative,Article,"Market Watch","Mon, 25 Mar 2019 06:02:38 -0400",
