title,news_url,image_url,text,sentiment,type,source_name,date,topics
"Wall Street strategists tell clients the yield curve inversion doesn't necessarily mean a recession",https://www.cnbc.com/2019/08/15/the-yield-curve-doesnt-necessarily-mean-a-recession-will-happen.html,https://cdn.snapi.dev/images/v1/g/x/etf40.jpg,"Wall Street strategists say the yield curve inversion doesn't mean a sign of a recession is coming.",Neutral,Article,CNBC,"Thu, 15 Aug 2019 13:10:00 -0400",
"Trump, Navarro are the only officials in the White House blaming the Fed for volatility, sources say",https://www.cnbc.com/2019/08/15/trump-navarro-only-white-house-officials-blaming-volatility-on-fed.html,https://cdn.snapi.dev/images/v1/p/g/106074325-15656215964012019-08-09t163520z-110903706-rc129f496270-rtrmadp-3-usa-trump.jpg,"The president has criticized his central bank chief sharply, but stepped it up in recent days when he labeled the Fed leader ""clueless Jay Powell.""",Negative,Article,CNBC,"Thu, 15 Aug 2019 10:27:00 -0400",
"Fed Poised To React Swiftly To Persistent Yield Curve Inversion, With More Rate Cuts",https://www.forbes.com/sites/pedrodacosta/2019/08/15/fed-poised-to-react-swiftly-to-persistent-yield-curve-inversion-with-more-rate-cuts/,https://cdn.snapi.dev/images/v1/n/o/0x600.jpg,"Global stocks markets slumped sharply on Wednesday and kept tumbling Thursday without much in the way of immediately negatively headlines, with one exception—something funky was happening in another, even more important sector of finance: bonds.",Neutral,Article,Forbes,"Thu, 15 Aug 2019 08:17:00 -0400",
"5 things to know before the stock market opens Thursday (Aug 15)",https://www.cnbc.com/2019/08/15/5-things-to-know-before-the-stock-market-opens-august-15-2019.html,https://cdn.snapi.dev/images/v1/p/8/106078523-1565787184284gettyimages-1161343278.jpeg,"Futures swing; 30-year yield hits historic lows; China threatens tariff countermeasures; Hong Kong unveils economic stimulus; Walmart shares surge on earnings",Neutral,Article,CNBC,"Thu, 15 Aug 2019 08:02:00 -0400",
"China says it must take counter-measures to latest U.S. tariffs",https://www.reuters.com/article/us-usa-trade-china/china-says-it-must-take-counter-measures-to-latest-u-s-tariffs-idUSKCN1V50UZ,https://cdn.snapi.dev/images/v1/y/i/m02d20190815t2i1419137360rlynxnpef7e0qyw640.jpg,"China has to take necessary counter-measures to the latest U.S.  tariffs on $300 billion of Chinese goods, the finance ministry said on Thursday.",Negative,Article,Reuters,"Thu, 15 Aug 2019 06:41:29 -0400",
"Asia stocks take heart in stimulus speculation",https://www.reuters.com/article/us-global-markets/asia-stocks-take-heart-in-stimulus-speculation-idUSKCN1V601S,https://cdn.snapi.dev/images/v1/j/3/m02d20190816t2i1419367576rlynxnpef7f015w640.jpg,"Asian shares found some footing on Friday after a turbulent week as China hinted at more support for its economy, amid growing expectations of aggressive stimulus from all the major central banks.",Neutral,Article,Reuters,"Thu, 15 Aug 2019 23:56:23 -0400",
"Bridgewater founder Ray Dalio says there's a 40% chance of a US recession before the 2020 election",https://www.cnbc.com/2019/08/16/bridgewater-ray-dalio-on-possible-us-recession-global-economy-investing-in-gold.html,https://cdn.snapi.dev/images/v1/1/0/105838883-1554731584586img-9999.jpg,"""Recessions are always inevitable, the only question is: 'When?',"" says Ray Dalio, founder of Bridgewater Associates.",Negative,Article,CNBC,"Thu, 15 Aug 2019 22:00:00 -0400",
"Oil gains after strong US retail sales help ease recession worries",https://www.cnbc.com/2019/08/16/oil-markets-us-retail-sales-global-economy-in-focus.html,https://cdn.snapi.dev/images/v1/9/a/102962617-gettyimages-479387238.jpg,"Crude oil prices rose on Friday after two days of declines, buoyed following data showing a rise in U.S. retail sales helped ease some concerns about a recession in the world's biggest economy.",Positive,Article,CNBC,"Thu, 15 Aug 2019 21:31:00 -0400","earnings,oil"
"Asia stocks nurse losses, bonds hold huge gains",https://www.reuters.com/article/us-global-markets/asia-stocks-nurse-losses-bonds-hold-huge-gains-idUSKCN1V601S,https://cdn.snapi.dev/images/v1/n/c/m02d20190816t2i1419367576rlynxnpef7f015w640.jpg,"Asian shares were heading for weekly losses on Friday as conflicting messages on the Sino-U.S. trade war only added to worries for the global economy, while talk of aggressive central bank stimulus drove bond yields to fresh lows.",Neutral,Article,Reuters,"Thu, 15 Aug 2019 20:40:50 -0400",
"Economic Trouble Signs Hang Over Trump’s Trade War",https://www.nytimes.com/2019/08/15/business/economy/trump-economy.html,https://cdn.snapi.dev/images/v1/m/e/merlin-158555967-78a5ac8e-251f-4cf5-914f-894c15e2eb92-articlelargejpgquality75autowebpdisableupscale.jpg,"White House advisers discount warnings of a possible recession. But the president may be gambling that the Federal Reserve can ward off that prospect.",Negative,Article,NYTimes,"Thu, 15 Aug 2019 20:11:08 -0400",paywall
