title,news_url,image_url,text,sentiment,type,source_name,date,topics
"Stocks shiver as new U.S.-China tariffs add to global gloom",https://www.reuters.com/article/us-global-markets/stocks-shiver-as-new-u-s-china-tariffs-add-to-global-gloom-idUSKCN1VM1PJ,https://cdn.snapi.dev/images/v1/8/u/m02d20190901t2i1425212898rlynxnpef80278w640.jpg,"Global stock prices fell on Monday after the United States and China imposed new tariffs on each other's goods, reinforcing investors' worries over slowing global growth.",Negative,Article,Reuters,"Sun, 01 Sep 2019 22:17:08 -0400",
"Trump says trade talks still planned for Sept. after China tariffs go into effect",https://www.cnbc.com/2019/09/01/trump-says-trade-talks-still-planned-for-sept-after-china-tariffs-go-into-effect.html,https://cdn.snapi.dev/images/v1/g/z/105604353-1543787787630rts28g0t.jpg,"“We are talking to China, the meetings in September, that hasn’t changed,” Trump told reporters Sunday on the White House South Lawn after returning from Camp David.",Negative,Article,CNBC,"Sun, 01 Sep 2019 12:09:00 -0400",
"Trump's 15% tariffs on $112 billion in Chinese goods take effect",https://www.cnbc.com/2019/09/01/trumps-15percent-tariffs-on-112-billion-in-chinese-goods-take-effect.html,https://cdn.snapi.dev/images/v1/q/d/105996877-1561983966425gettyimages-1152690137.jpeg,"The Trump administration's latest round of tariffs on Chinese imports took effect Sunday, raising prices Americans pay for clothes, shoes, sporting goods and other consumer goods ahead of the holiday shopping season.",Negative,Article,CNBC,"Sun, 01 Sep 2019 02:44:00 -0400",
"US and China begin imposing new tariffs as trade war escalates",https://www.theguardian.com/business/2019/sep/01/us-and-china-begin-imposing-new-tariffs-as-trade-war-escalates,https://cdn.snapi.dev/images/v1/c/d/3605jpgwidth460quality85autoformatfitmaxs168dc29f9691b07492e2187b7c426b8a.jpg,"Chinese exports worth $125bn will face new taxes from 1 September, while China places levy on oil as agreement becomes more distant",Negative,Article,"The Guardian","Sun, 01 Sep 2019 02:26:42 -0400",
"China calls US 'school bully' as trade war escalates",https://news.sky.com/story/china-tells-us-to-stop-acting-like-a-school-bully-as-trade-war-escalates-11799472,https://cdn.snapi.dev/images/v1/8/g/skynews-donald-trump-xi-jinping-4761620jpg20190901063842.jpg,"China has told the US to stop acting like a ""school bully"" as the two countries imposed further tariffs on each other's goods on Sunday.",Negative,Article,Skynews,"Sun, 01 Sep 2019 01:31:00 -0400",
"China takes cautious steps with new tariffs, leaving most to December",https://www.cnbc.com/2019/09/02/us-china-trade-war-beijing-takes-cautious-steps-with-new-tariffs.html,https://cdn.snapi.dev/images/v1/p/b/106090351-1566412094842gettyimages-1035842668.jpeg,"The proportion of Chinese tariffs on U.S. goods that took effect on Sunday only account for one third of more than 5,000 product lines listed.",Neutral,Article,CNBC,"Sun, 01 Sep 2019 23:56:00 -0400",
"Oil falls amid new round of tariffs in US-China trade war",https://www.cnbc.com/2019/09/02/oil-markets-us-china-trade-tariffs-in-focus.html,https://cdn.snapi.dev/images/v1/m/v/105625749-1544715108595rtx6i8gu.jpg,"Oil prices fell on Monday after new tariffs imposed by the United States and China came into force, raising concerns about a further hit to global growth and demand for crude.",Negative,Article,CNBC,"Sun, 01 Sep 2019 21:10:00 -0400",oil
"Asia stocks set to trade lower as new US-China trade tariffs go into effect",https://www.cnbc.com/2019/09/02/asia-markets-sept-2-us-china-tariffs-china-pmi-currencies-and-oil.html,https://cdn.snapi.dev/images/v1/a/t/105847418-1555025476933gettyimages-1129771953.jpeg,"Stocks in Asia were set to decline at the open on Monday as the latest round of U.S. and China tariffs kicked into effect over the weekend.",Negative,Article,CNBC,"Sun, 01 Sep 2019 19:32:00 -0400",
"A 'fear bubble' is creating a huge buying opportunity, long-time market bull Jim Paulsen says",https://www.cnbc.com/2019/09/01/fear-bubble-is-creating-a-huge-buying-opportunity-long-time-bull.html,https://cdn.snapi.dev/images/v1/n/j/105349322-1532446334158img-0066.jpg,"Leuthold Group's Jim Paulsen sees a phenomenon that could send stocks off to the races.",Positive,Article,CNBC,"Sun, 01 Sep 2019 17:00:00 -0400",
"Trump's 15 percent tariff on Chinese goods kicks in",https://www.cnet.com/news/trumps-15-percent-tariff-on-chinese-goods-kicks-in/,https://cdn.snapi.dev/images/v1/t/a/tarf432-1.jpg,"And China retaliates with its own tariffs on US goods, as the trade war ratchets up.",Negative,Article,CNET,"Sun, 01 Sep 2019 15:22:18 -0400",
"Howard Marks: Nothing’s Riskier Than a Widespread Belief That There’s No Risk",http://www.gurufocus.com/news/939134/howard-marks-nothings-riskier-than-a-widespread-belief-that-theres-no-risk-,https://cdn.snapi.dev/images/v1/e/t/etf16.jpg,"Why do financial meltdowns happen when they are least expected? Why do the bad times inevitable eventually turn bad?",Negative,Article,GuruFocus,"Sun, 01 Sep 2019 13:02:08 -0400",
"Bitcoin, ETH, XRP, And LTC Had A Brutal Week -- What's Next?",https://www.forbes.com/sites/panosmourdoukoutas/2019/09/01/bitcoin-eth-xrp-and-ltc-had-a-brutal-week-whats-next/,https://cdn.snapi.dev/images/v1/e/d/edw2333-1.jpg,"Cryptocurrency traders should follow closely the US-China trade war.",Negative,Article,Forbes,"Sun, 01 Sep 2019 07:57:00 -0400",crypto
"China, U.S. kick off new round of tariffs on each other's goods",https://www.reuters.com/article/us-usa-trade-china/china-u-s-kick-off-new-round-of-tariffs-on-each-others-goods-idUSKCN1VM0V9,https://cdn.snapi.dev/images/v1/l/w/m02d20190901t2i1424923797rlynxnpef8013gw640.jpg,"China and the United States began imposing additional tariffs on each other's goods on Sunday, the latest escalation in a bruising trade war, despite signs that talks would resume some time this month.",Negative,Article,Reuters,"Sun, 01 Sep 2019 00:49:35 -0400",
"China starts to impose additional tariffs on some U.S. goods",https://www.reuters.com/article/us-usa-trade-china-tariffs/china-starts-to-impose-additional-tariffs-on-some-u-s-goods-idUSKCN1VM0YU,https://cdn.snapi.dev/images/v1/o/b/m02d20190901t2i1424955504rlynxnpef8019bw640.jpg,"China on Sunday started to impose additional tariffs on some of the U.S. goods on a $75-billion target list, with effect from 0401 GMT.",Negative,Article,Reuters,"Sun, 01 Sep 2019 00:13:23 -0400",
