title,news_url,image_url,text,sentiment,type,source_name,date,topics
"Trump is risking his reelection with the trade war, says Strategas analyst Clifton",https://www.cnbc.com/2019/08/06/trump-is-risking-his-reelection-with-the-trade-war-says-strategas-analyst-clifton.html,https://cdn.snapi.dev/images/v1/y/k/106038407-1564005484282rtx70w02.jpg,"President Donald Trump's trade war risks damaging the economy, as well as his own re-election chances, according to Strategas.",Negative,Article,CNBC,"Tue, 06 Aug 2019 07:22:00 -0400",
"Global Markets Mixed As China Works to Slow Yuan Slide",https://www.investopedia.com/global-markets-mixed-4766806,https://cdn.snapi.dev/images/v1/2/0/20190810-fnp502.jpg,"U.S. equity markets look set to rise after China's central bank made attempts to curb the depreciation of the yuan.",Negative,Article,Investopedia,"Tue, 06 Aug 2019 07:11:03 -0400",
"Huawei asked people if they thought it was linked to Chinese government     - CNET",https://www.cnet.com/news/huawei-asked-people-if-they-thought-it-was-linked-to-chinese-government/,https://cdn.snapi.dev/images/v1/h/u/huawei-y9-prime-20194.jpg,"The phonemaker polled its Twitter followers about #WhoRunsHuawei, and the vast majority think it's owned by the government.",Neutral,Article,CNET,"Tue, 06 Aug 2019 06:54:54 -0400",
"China Moves To Stabilise Yuan After Letting It Weaken To 11-Year Low",https://www.forbes.com/sites/isabeltogoh/2019/08/06/china-moves-to-stabilise-yuan-after-letting-it-weaken-to-11-year-low/,https://cdn.snapi.dev/images/v1/0/x/0x600.jpg,"It comes after U.S. and Asian stocks dropped sharply earlier on Tuesday, after the U.S.",Positive,Article,Forbes,"Tue, 06 Aug 2019 06:28:04 -0400",
"Trade War May Not End Before Election",https://247wallst.com/economy/2019/08/06/trade-war-may-not-end-before-election/,https://cdn.snapi.dev/images/v1/s/t/stocks-worstofjpgquality90stripall.jpg,"What if the trade war goes on past the election? Both the U.S. and Chinese economies could be deeply damaged.",Negative,Article,"24/7 Wall Street","Tue, 06 Aug 2019 06:25:04 -0400",
"It's Time for Some Perspective on Stock Market Corrections and ""Plunges""",https://www.fool.com/investing/2019/08/06/its-time-for-some-perspective-on-stock-market-corr.aspx,https://cdn.snapi.dev/images/v1/u/r/urlhttps3a2f2fgfoolcdncom2feditorial2fimages2f5349032fstock-market-crash-plunge-dollar-newspaper-invest-dow-sp-500-gettyjpgw700opresize.jpg,"The stock market's worst trading day of 2019 isn't a reason to worry. Rather, it's an opportunity.",Positive,Article,"The Motley Fool","Tue, 06 Aug 2019 06:11:00 -0400",
"China's state council announces special tax policies in Shanghai Free Trade Zone",https://www.reuters.com/article/us-china-trade-shanghai/chinas-state-council-announces-special-tax-policies-in-shanghai-free-trade-zone-idUSKCN1UW0YO,https://cdn.snapi.dev/images/v1/q/z/m02d20190806t2i1415987413rlynxnpef750rcw640.jpg,"China said it will implement a special tax policy in the Shanghai Free Trade Zone, the country's State Council or cabinet said on Tuesday.",Neutral,Article,Reuters,"Tue, 06 Aug 2019 06:01:00 -0400",
"Former Fed chairs say the US central bank must be free of 'political pressures'",https://www.cnbc.com/2019/08/06/former-fed-chairs-say-the-us-central-bank-must-be-free-of-political-pressures.html,https://cdn.snapi.dev/images/v1/r/b/103530931-rtse36f.jpg,"The four living former chairs of the Federal Reserve called for the U.S. central bank to remain free to work independently and without fear of political reprisals.",Neutral,Article,CNBC,"Tue, 06 Aug 2019 06:01:00 -0400",
"Oil hovers around $60 as U.S.-China trade tensions weigh",https://www.reuters.com/article/us-global-oil/oil-hovers-around-60-as-u-s-china-trade-tensions-weigh-idUSKCN1UW04M,https://cdn.snapi.dev/images/v1/t/h/m02d20190806t2i1415983459rlynxnpef7502uw640.jpg,"Oil prices rebounded slightly on Tuesday from big falls in recent sessions, but Brent crude remained near seven-month lows around $60 a barrel due to escalating trade tensions between China and the United States.",Negative,Article,Reuters,"Tue, 06 Aug 2019 05:48:32 -0400",oil
"SF Fed's Daly says she's focused on trade tensions",https://www.marketwatch.com/story/sf-feds-daly-says-shes-focused-on-trade-tensions-2019-08-06,https://cdn.snapi.dev/images/v1/1/0/104816486-gettyimages-869477424.jpg,"San Francisco Fed President Mary Daly says she is focused on the impact of U.S.-China trade tensions as she weighs the central bank's next move on interest rates.",Negative,Article,"Market Watch","Tue, 06 Aug 2019 05:45:52 -0400",
"Oil Reverses Drop After China's Yuan Fix Soothes Investor Nerves",https://www.investors.com/news/oil-china-yuan-trade-war/,https://cdn.snapi.dev/images/v1/3/o/3ols-1.jpg,"Oil reversed a decline as China’s central bank set the yuan fixing stronger than expected, calming investors after U.S. escalated war by currency manipulate 
The post Oil Reverses Drop After China's Yuan Fix Soothes Investor Nerves appeared first on Investor's Business Daily.",Positive,Article,"Investors Business Daily","Tue, 06 Aug 2019 05:28:11 -0400",oil
"China says U.S. currency manipulator labeling could cause chaos in financial markets",https://www.reuters.com/article/us-usa-trade-china/china-says-u-s-currency-manipulator-labeling-could-cause-chaos-in-financial-markets-idUSKCN1UW04S,https://cdn.snapi.dev/images/v1/3/b/m02d20190806t2i1415971825rlynxnpef75033w640.jpg,"China's central bank said on Tuesday that Washington's decision to label Beijing as a currency manipulator would ""severely damage international financial order and cause chaos in financial markets"".",Negative,Article,Reuters,"Tue, 06 Aug 2019 05:17:35 -0400",
