sample_id	val_mse	val_acc	val_mape	test_mse	test_acc	test_mape	config
1	6.126794338226318	0.5155246524142334	107.74357318878174	4.812824249267578	0.5460526315789473	107.35015869140625	{'nn.hidden_size': 128, 'nn.output_size': 1, 'nn.num_layer': 3, 'nn.lstm_drop_prob': 0.5, 'nn.fc_drop_prob': 0.25, 'train.epoch': 150, 'train.batch_size': 512, 'train.lr': 0.03}
2	6.406237602233887	0.49387455591648993	175.22164583206177	4.756326198577881	0.506578947368421	126.54751539230347	{'nn.hidden_size': 256, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.lstm_drop_prob': 0.25, 'nn.fc_drop_prob': 0.0, 'train.epoch': 60, 'train.batch_size': 32, 'train.lr': 0.0001}
3	5.849216461181641	0.4965323453873482	128.5722017288208	4.955127716064453	0.4605263157894737	123.06197881698608	{'nn.hidden_size': 512, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.lstm_drop_prob': 0.5, 'nn.fc_drop_prob': 0.0, 'train.epoch': 60, 'train.batch_size': 32, 'train.lr': 1e-05}
4	5.9761643409729	0.48390113381119854	167.46256351470947	5.269402503967285	0.4473684210526316	153.76899242401123	{'nn.hidden_size': 256, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.lstm_drop_prob': 0.25, 'nn.fc_drop_prob': 0.5, 'train.epoch': 95, 'train.batch_size': 32, 'train.lr': 0.01}
5	8.94088363647461	0.4972579427933934	317.25311279296875	6.371989727020264	0.5197368421052632	343.3496952056885	{'nn.hidden_size': 256, 'nn.output_size': 1, 'nn.num_layer': 3, 'nn.lstm_drop_prob': 0.25, 'nn.fc_drop_prob': 0.0, 'train.epoch': 110, 'train.batch_size': 128, 'train.lr': 0.00030000000000000003}
6	9.182801246643066	0.495266837886774	428.1756401062012	8.216269493103027	0.4407894736842105	332.40745067596436	{'nn.hidden_size': 512, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.lstm_drop_prob': 0.0, 'nn.fc_drop_prob': 0.5, 'train.epoch': 95, 'train.batch_size': 128, 'train.lr': 0.00030000000000000003}
7	5.992265701293945	0.5049397299256356	132.47722387313843	5.058897495269775	0.4605263157894737	130.33050298690796	{'nn.hidden_size': 32, 'nn.output_size': 1, 'nn.num_layer': 3, 'nn.lstm_drop_prob': 0.25, 'nn.fc_drop_prob': 0.25, 'train.epoch': 100, 'train.batch_size': 32, 'train.lr': 0.0001}
8	6.596016883850098	0.4934905038464866	293.05408000946045	5.851596832275391	0.5197368421052632	331.7035436630249	{'nn.hidden_size': 1024, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.lstm_drop_prob': 0.5, 'nn.fc_drop_prob': 0.5, 'train.epoch': 160, 'train.batch_size': 512, 'train.lr': 0.1}
9	7.782560348510742	0.4980126237542544	277.83172130584717	6.497994899749756	0.5328947368421053	233.08608531951904	{'nn.hidden_size': 32, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.lstm_drop_prob': 0.25, 'nn.fc_drop_prob': 0.25, 'train.epoch': 60, 'train.batch_size': 512, 'train.lr': 0.03}
10	5.90745210647583	0.5000604043061558	101.91951990127563	4.7810211181640625	0.46710526315789475	102.99971103668213	{'nn.hidden_size': 64, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.lstm_drop_prob': 0.25, 'nn.fc_drop_prob': 0.0, 'train.epoch': 20, 'train.batch_size': 128, 'train.lr': 0.03}
11	5.5087504386901855	0.4894866678001796	141.21336936950684	4.960944175720215	0.4342105263157895	144.01570558547974	{'nn.hidden_size': 256, 'nn.output_size': 1, 'nn.num_layer': 1, 'nn.lstm_drop_prob': 0.0, 'nn.fc_drop_prob': 0.5, 'train.epoch': 55, 'train.batch_size': 512, 'train.lr': 0.03}
12	5.789961338043213	0.5012155434448651	116.20135307312012	4.863653182983398	0.47368421052631576	110.58114767074585	{'nn.hidden_size': 512, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.lstm_drop_prob': 0.0, 'nn.fc_drop_prob': 0.25, 'train.epoch': 115, 'train.batch_size': 512, 'train.lr': 0.03}
13	5.8065009117126465	0.46256349909468114	101.49083137512207	4.756930351257324	0.4605263157894737	101.39925479888916	{'nn.hidden_size': 128, 'nn.output_size': 1, 'nn.num_layer': 2, 'nn.lstm_drop_prob': 0.5, 'nn.fc_drop_prob': 0.25, 'train.epoch': 12, 'train.batch_size': 512, 'train.lr': 1e-05}
14	6.006887912750244	0.5129891630200364	136.7582082748413	4.81392240524292	0.4868421052631579	116.53008460998535	{'nn.hidden_size': 64, 'nn.output_size': 1, 'nn.num_layer': 3, 'nn.lstm_drop_prob': 0.5, 'nn.fc_drop_prob': 0.0, 'train.epoch': 120, 'train.batch_size': 512, 'train.lr': 0.0001}
15	5.905759811401367	0.5109801605412225	100.28867721557617	4.761065483093262	0.5328947368421053	99.318927526474	{'nn.hidden_size': 1024, 'nn.output_size': 1, 'nn.num_layer': 3, 'nn.lstm_drop_prob': 0.0, 'nn.fc_drop_prob': 0.5, 'train.epoch': 11, 'train.batch_size': 512, 'train.lr': 1e-05}
16	5.534371852874756	0.4799099752118625	148.07231426239014	5.15818977355957	0.4144736842105263	140.72659015655518	{'nn.hidden_size': 256, 'nn.output_size': 1, 'nn.num_layer': 3, 'nn.lstm_drop_prob': 0.5, 'nn.fc_drop_prob': 0.5, 'train.epoch': 6, 'train.batch_size': 512, 'train.lr': 0.03}
17	5.614015579223633	0.5001909074367396	99.93891716003418	4.76660680770874	0.45394736842105265	99.33829307556152	{'nn.hidden_size': 64, 'nn.output_size': 1, 'nn.num_layer': 3, 'nn.lstm_drop_prob': 0.0, 'nn.fc_drop_prob': 0.5, 'train.epoch': 10, 'train.batch_size': 512, 'train.lr': 3.0000000000000004e-05}
