Date,Calculated,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
2011-02-05,,,,,,,,,
2011-02-06,,,,,,,,,
2011-02-07,,,,,,,,,
2011-02-08,,,,,,,,,
2011-02-09,,,,,,,,,
2011-02-10,,,,,,,,,
2011-02-11,,,,,,,,,
2011-02-12,,,,,,,,,
2011-02-13,,,,,,,,,
2011-02-14,,,,,,,,,
2011-02-15,,,,,,,,,
2011-02-16,,,,,,,,,
2011-02-17,,,,,,,,,
2011-02-18,,,,,,,,,
2011-02-19,,,,,,,,,
2011-02-20,,,,,,,,,
2011-02-21,,,,,,,,,
2011-02-22,,,,,,,,,
2011-02-23,,,,,,,,,
2011-02-24,,,,,,,,,
2011-02-25,,,,,,,,,
2011-02-26,,,,,,,,,
2011-02-27,,,,,,,,,
2011-02-28,,,,,,,,,
2011-03-01,,,,,,,,,
2011-03-02,,,,,,,,,
2011-03-03,,,,,,,,,
2011-03-04,,,,,,,,,
2011-03-05,,,,,,,,,
2011-03-06,,,,,,,,,
2011-03-07,,,,,,,,,
2011-03-08,,,,,,,,,
2011-03-09,,,,,,,,,
2011-03-10,,,,,,,,,
2011-03-11,,,,,,,,,
2011-03-12,,,,,,,,,
2011-03-13,,,,,,,,,
2011-03-14,,,,,,,,,
2011-03-15,,,,,,,,,
2011-03-16,,,,,,,,,
2011-03-17,,,,,,,,,
2011-03-18,,,,,,,,,
2011-03-19,,,,,,,,,
2011-03-20,,,,,,,,,
2011-03-21,,,,,,,,,
2011-03-22,,,,,,,,,
2011-03-23,-0.658127572492033,0.02074527700063646,0.0323328803926703,0.007875240567757682,0.02834578317492631,0.015985391083879582,0.021505607644629787,0.011167807384727448,0.04853608827171616
2011-03-24,-0.6296863898491831,0.018610537961542346,0.03031718955640546,0.007154024237385867,0.028177187476830144,0.015404133854202978,0.0197526762061498,0.010930889020682396,0.046104387252745065
2011-03-25,-0.6606646237901935,0.02132770624198431,0.03301809549282206,0.008139637190943419,0.029323240719649753,0.018077064327120314,0.019772100907535495,0.012435535175198971,0.044933641181312135
2011-03-26,-0.9067735826772412,0.033345260836963736,0.021725112227055077,0.007278437708198802,0.043089106065871116,0.013880754951561325,0.02197928586434964,0.012827948429341686,0.04640666266760693
2011-03-27,-0.5874788298834523,0.019379353482793685,0.029369928444791273,0.009309288349932877,0.028552867472175628,0.015414769202443486,0.01788680726180286,0.01000644634930392,0.052409246321601266
2011-03-28,-0.5736088517466571,0.01947149556911906,0.02987125127523422,0.007654676246590714,0.025751982261539203,0.015441866019522008,0.019011502689847855,0.010356360896647298,0.04908145531337376
2011-03-29,-0.6108391095233492,0.01707281627483033,0.03067151596266968,0.0070994891255418205,0.02541795130097602,0.014793179505049854,0.01871887734151908,0.008873002993988624,0.047499362714805544
2011-03-30,-0.6020196269191981,0.01769528694790136,0.030575761370003923,0.007232279600391785,0.024537807019190026,0.017114005867752163,0.015600259110860456,0.00977402996778815,0.04959271683654863
2011-03-31,-0.6477026950957328,0.018596267789860593,0.03032893737468189,0.007227020023619647,0.02633830432417112,0.015233383263628398,0.01937429992800877,0.010638217111888282,0.04757211145068537
2011-04-01,-0.6461600156088574,0.016846641107463048,0.029531936732602338,0.0075210259171287945,0.023914816610717284,0.014404764289325134,0.01831494093961744,0.010799889348696313,0.04210652377986568
2011-04-02,-0.6109169598097547,0.020292774282913262,0.036125454162766905,0.00649558029801887,0.029280692619307064,0.024001290868226426,0.018471838341827855,0.015318557883323071,0.058057187663791504
2011-04-03,-0.719194395669437,0.02307263972359579,0.029083419130437917,0.009458536462322814,0.03027298536874563,0.012021489883274703,0.01827045374178353,0.010904312726777688,0.046812298250167375
2011-04-04,-0.5569807374843224,0.019720318732258275,0.03146466060306546,0.008327940647444286,0.026707116440295997,0.017298307716755158,0.019462834295928905,0.010472029258826837,0.0461471904551697
2011-04-05,-0.7187160793390267,0.01834021422981672,0.03001414870386596,0.007636052623835453,0.02797604366657066,0.015943180700250907,0.016512939915034795,0.009243509459341579,0.04929312388898978
2011-04-06,-0.5803260416077916,0.017913507640182444,0.03141888156328339,0.007170654811290825,0.025573884810614417,0.017013531436566247,0.015853272619850825,0.010740655098296878,0.051572676418817576
2011-04-07,-0.5475924117699756,0.017887780440478125,0.031966831267518106,0.007316676749069317,0.02423436088919275,0.01597163417615905,0.017714739557905222,0.011221083493625286,0.04950671107917886
2011-04-08,-0.606254572959267,0.017922888888160418,0.030802889512113452,0.007503996215677696,0.02488269381723101,0.016019381958921802,0.01662371762049554,0.010559771635503446,0.044595113931555734
2011-04-09,-0.7018379714464963,0.01987703375695985,0.03206662809902791,0.005394703733902134,0.02151381667610186,0.015079995779083791,0.020806765952919862,0.011808516345406587,0.046695503428011084
2011-04-10,-0.5197100806505395,0.02346628489077655,0.031665428266054126,0.008610885310272926,0.027671011674389047,0.014967032491951415,0.01747866196030452,0.01242742186911355,0.05265364006101163
2011-04-11,-0.613022570352524,0.01995650942202672,0.03202979636884509,0.008524252411801376,0.024886833889543252,0.015106264755452249,0.01735303813864383,0.011685553289187404,0.0502156197337239
2011-04-12,-0.5602047883267754,0.01703577406346888,0.030384919237655805,0.007035610805950592,0.022777217674243323,0.015430510059171542,0.018032087379193575,0.009329254722950044,0.04756076786602985
2011-04-13,-0.6118729715052047,0.017602421492645272,0.030676400320331962,0.007683880440672795,0.02571149174168837,0.015584132775547354,0.01746743522217381,0.009299361737400603,0.04872256552673536
2011-04-14,-0.6850187337672512,0.015453361776094425,0.03273076742002635,0.007387254640289015,0.02163748600479514,0.01644034682032733,0.01742993842024888,0.01072187091643524,0.0467367169735608
2011-04-15,-0.6112808548932551,0.016980490322524733,0.035533329316096124,0.007181514273575612,0.02444472453908731,0.02013457638523761,0.017354096706520595,0.011465951623573572,0.049035498153587445
2011-04-16,-0.8238545242923669,0.020126796690086473,0.028295656296470476,0.006271140187908852,0.034639679642003686,0.01426706025207977,0.018268668238874585,0.011519870354743316,0.06393148697030732
2011-04-17,-0.6225253841833462,0.017098500556408956,0.03270442709932118,0.007967293916429093,0.025332594634977595,0.015922394761484288,0.01815216783958591,0.011432661608068268,0.05245020719077456
2011-04-18,-0.5544542026106608,0.018676446064737423,0.0302917635493059,0.007074743235463162,0.025438551585803344,0.017287517208956358,0.021067391441269866,0.010057787545570946,0.047102972888197155
2011-04-19,-0.5160588122638885,0.014424397017441257,0.02864409833069068,0.00674458683543402,0.020223414318132942,0.015230525497346237,0.017086362136471262,0.008643187187535465,0.047470826311989935
2011-04-20,-0.478895022841662,0.016448691973228333,0.03197875316440526,0.006643043716256345,0.023910355633936516,0.01736160302349356,0.018225320833800185,0.010943436478468214,0.04757798099819954
2011-04-21,-0.2945403097285326,0.013515998391751877,0.03802422917881561,0.0059336347442864755,0.017871598911474343,0.016900689132321817,0.015353410143396314,0.008320694073750072,0.0459884568317163
2011-04-22,-0.6138842762967621,0.023748465509313522,0.031070407719937156,0.009176376598452102,0.029690330068273683,0.017669651002001248,0.01984894839426188,0.013744478742715201,0.04866729545907826
2011-04-23,-0.9862384105214758,0.03736299736006126,0.02338601714497594,0.009333113472687334,0.04665935610018241,0.014012883677516174,0.02635104766615633,0.00791837183785148,0.04099760718179635
2011-04-24,-0.5198150440469236,0.020688083565577376,0.029276402246853545,0.010454428158234219,0.0278159651319471,0.018605259342016234,0.017715519691350563,0.011422933903911253,0.049897194159950926
2011-04-25,-0.5540063550592693,0.019763724143689865,0.03155203952362549,0.00792452635091281,0.025710740915254392,0.01818799551104588,0.019512470463462415,0.010496345584920592,0.049595593292791576
2011-04-26,-0.4374387141537222,0.017184903607102002,0.03281880951212374,0.006677633365578744,0.022846260496026734,0.016687108340806472,0.017224302302343997,0.009100481915461842,0.04685566046103452
2011-04-27,-0.516849697245303,0.0200095954566882,0.033427612086620484,0.007866958688469204,0.02592363051384011,0.015991218025037283,0.019257550903701546,0.00961850779861062,0.04612262285164746
2011-04-28,-0.3554763282823794,0.01716528288723613,0.03302705106732736,0.0066494047461864905,0.0224616422413396,0.016538899702915794,0.018840081468918767,0.010559735505344395,0.045038328764216554
2011-04-29,-0.43995376037313233,0.014841369812728452,0.03245730609892984,0.006936508175743405,0.020386021535052742,0.017589346257432466,0.01616335534926309,0.00953601632956333,0.0459789180227517
2011-04-30,-0.609752337593274,0.013140292155865605,0.03613581189256448,0.004775414965264889,0.01624069400837792,0.027483146966460703,0.022047643950571003,0.010457716997488828,0.05811464420120706
2011-05-01,-0.6008229143833209,0.018715881824604878,0.030494166620510535,0.008374552684239246,0.024673836187346438,0.015613262731800233,0.0172036952133905,0.011576198837979524,0.05012488442324281
2011-05-02,-0.495189165226257,0.02318528618933026,0.03327332807676607,0.010033834609765613,0.034362120449105964,0.01843735275549584,0.019991938913201463,0.013336203491726963,0.0501698083165035
2011-05-03,-0.6720994779366973,0.020059850609310058,0.028014825367938066,0.009268655975747218,0.029402789536918866,0.01272653688988228,0.02314079284346427,0.010318091795621105,0.045532870587580924
2011-05-04,-0.46482356858371715,0.01563429690677492,0.03173769181919325,0.00790143444468305,0.021377495610062615,0.017521239719339013,0.017426063914931636,0.0083877459907429,0.04844970260072934
2011-05-05,-0.6291504546424511,0.01853507908321634,0.032016243686125934,0.007642036852523146,0.025005628376729087,0.015238264452694732,0.021189289444779567,0.011934673598274496,0.04720921235517099
2011-05-06,-0.6281913074399832,0.022444069768197916,0.030306003662463492,0.008172761354786801,0.03055806962352253,0.014885367141263501,0.021120397746519477,0.011258649630911534,0.04101495129795204
2011-05-07,-0.7637320883521965,0.02792111077311026,0.027082019548490495,0.00997777590911415,0.03339317738354169,0.013391763388064476,0.018541324382667902,0.01255726906904293,0.04578497999180818
2011-05-08,-0.6501589344806789,0.020444854921931835,0.030751827431039224,0.008196503847988451,0.026939447663804943,0.015753968718581028,0.018006865960161333,0.010338349102039134,0.05040136714920896
2011-05-09,-0.47094684816293686,0.018395932758929447,0.031788006036303974,0.007921377935951551,0.02599364870155371,0.017133224968293677,0.02068868702620783,0.010392846279888995,0.04562851378002932
2011-05-10,-0.5499857590246608,0.018375336332944053,0.033679704992785976,0.007748647207977736,0.02430010793912929,0.016846175298156317,0.018904995430782785,0.009404093679098068,0.04581952348298998
2011-05-11,-0.3966828848280875,0.017164813485174558,0.0326405542622082,0.006422906983710327,0.023167640874370163,0.015383092569268408,0.01738610166306001,0.00958766061496494,0.04470304242100968
2011-05-12,-0.6144022914842364,0.01754422280750493,0.029486358388638396,0.007013968470535818,0.022905093845524586,0.014526103099535694,0.018975926469651336,0.009582366823295035,0.04526189351514767
2011-05-13,-0.656046184882823,0.019886151817110377,0.03139820498521392,0.007789149372530501,0.02629695334607448,0.016269067119315313,0.01952173141652806,0.010687250628846819,0.043360215769449206
2011-05-14,-0.8231186229572951,0.020290236133011508,0.03066111759549189,0.008408191441892053,0.031875255109966555,0.017220041542710923,0.015509061507645236,0.010392624983348996,0.03748787598377897
2011-05-15,-0.5485754963767836,0.022811080560792788,0.030671162485696242,0.010219053908078578,0.031214324562726974,0.0185211843206311,0.020572668253790085,0.010581833977070104,0.05500251933304726
2011-05-16,-0.6650669523764693,0.020296686495684647,0.029301176857516334,0.009785863798894194,0.026083712792341986,0.016742202115395243,0.018497057751022995,0.0126033120929806,0.04577471191784359
2011-05-17,-0.6003862150463424,0.01584313160798908,0.03132175140316216,0.00658673910225108,0.023662985104715054,0.014829875905526651,0.0181590397940226,0.009458066908087192,0.04632108620503899
2011-05-18,-0.643071263024187,0.016033638329859004,0.0325203671730457,0.00810747652886225,0.025134478184015277,0.01615328370193707,0.018823948063854325,0.010402574495048797,0.04678448066367771
2011-05-19,-0.5492758758714089,0.01943084464874691,0.03274624594401835,0.008192006616169856,0.024769807689307657,0.017405357980222004,0.019780670814916038,0.010642686314617797,0.04688044650822091
2011-05-20,-0.5759828756467239,0.020584742055332266,0.03221759791826029,0.00856799865604614,0.02758268320300645,0.0179619441373734,0.01877831401643187,0.011253813593374627,0.046626390445970896
2011-05-21,-0.71699009567476,0.03537755041949525,0.031707318367986154,0.015450530135562518,0.05252813087771543,0.017584577264658775,0.032212173272399294,0.0073091462763359176,0.04634083432913376
2011-05-22,-0.5266312833704726,0.01891372966724489,0.028429617400775573,0.0070101953017719255,0.024092186500048,0.014749181653337487,0.016712764203300767,0.009535113988445752,0.04924888777012012
2011-05-23,-0.6335739053405214,0.018571518775279308,0.03118242709330051,0.006849766829249611,0.02477895664795908,0.014872535540251376,0.02051280928277191,0.00977727439117311,0.04296773321696895
2011-05-24,-0.5558242750541231,0.018902717585019987,0.03209620445941583,0.008695357257165985,0.02576144622270704,0.014618936207460465,0.018806573552010535,0.009185992226126594,0.047411129707594465
2011-05-25,-0.5240923607952531,0.01785022957027095,0.03132398995994653,0.00798803140048005,0.024263413899190595,0.016004092133712844,0.018711958289233433,0.010483392128938927,0.045296652935305305
2011-05-26,-0.650210822953887,0.018327362142981297,0.03206900346994826,0.007877418986081857,0.025318199339298818,0.015632610434903008,0.018486816328291147,0.009005899813935677,0.0470804771018899
2011-05-27,-0.5450620659634936,0.019220555828439498,0.032153043307790174,0.008712143199522512,0.022167619211193652,0.01724129155248344,0.017167337538797255,0.009331195202396073,0.0457618551617224
2011-05-28,-0.352305108336872,0.023708610833101905,0.03105961223165648,0.003186405829984123,0.028605647986547394,0.015059817658161553,0.013975819530394413,0.011179803304325019,0.0457497759847447
2011-05-29,-0.6829964978021202,0.02153769371205838,0.030802163823689856,0.010115030924805151,0.028234216934065727,0.015165096711699565,0.01862054193891789,0.011767839729761864,0.046282190321028704
2011-05-30,-0.4940283869092374,0.01927063921095094,0.032897724752401415,0.009023079389630944,0.0249817734407197,0.018072004735963664,0.019219272717866207,0.0116546990355719,0.048473147773204175
2011-05-31,-0.5540625336591877,0.01806274206201578,0.03293574791083639,0.00812505975521465,0.02754951109100484,0.01677263124006142,0.01965488132578208,0.010923516865956034,0.0491576629174353
2011-06-01,-0.5673719238247863,0.016223588043891363,0.03086084654079558,0.0074899496794816,0.02416572711877043,0.015709449630145388,0.02006742002497421,0.009586570416763316,0.04659237088884158
2011-06-02,-0.6175021910396816,0.01807747300278073,0.03079716536543068,0.006990021016185156,0.02358072393329625,0.015268690736956641,0.018253429680894596,0.009996578323913083,0.04755358570964461
2011-06-03,-0.6591568354857275,0.018207524159460264,0.031663079324289085,0.009263408236679383,0.02650958600709412,0.017084310389940228,0.019955963196718787,0.010441492112411195,0.044386248694397126
2011-06-04,-0.8096077137460717,0.03513925684548277,0.03032254704954764,0.007740487693648861,0.04231142184440453,0.013989916183726858,0.02016235508767129,0.014790917156976302,0.053484641549235074
2011-06-05,-0.6714609944786224,0.020097917383086875,0.027382176566751237,0.007435300878850165,0.027781433774003068,0.014013656990090717,0.01771128981162597,0.010419646102195387,0.04940698658613883
2011-06-06,-0.6143912494519593,0.018783320619156506,0.031853976424733074,0.008694693537037949,0.026297351680498265,0.017011985730408602,0.018663942344338064,0.010609980639951904,0.05215752008617071
2011-06-07,-0.543027019289356,0.017002413098268512,0.03219313662124975,0.007046361424720018,0.023311882564485197,0.016208037551500635,0.015582971552688707,0.008944136917986744,0.049695318902378605
2011-06-08,-0.5367128138375179,0.016839728516974725,0.027762005372345473,0.007717622671222594,0.021555161631826112,0.015270945758551153,0.01869141300047509,0.009360362277527113,0.04727031325015539
2011-06-09,-0.6733273344870384,0.017601052422755795,0.030052426039339095,0.00699776268503176,0.024207248819143143,0.01591732118453896,0.018062074555232458,0.009631381686360825,0.046848753444472716
2011-06-10,-0.5838115277482359,0.0162765557732664,0.029205836811423563,0.007322815455490254,0.022922327401110904,0.01565945593535647,0.0178613660646305,0.009296494010620377,0.050505780338327665
2011-06-11,-0.8121309435921251,0.024693757902440622,0.027986100023581036,0.007062764586828882,0.029143941482418848,0.010869447684658065,0.01774529192216827,0.009125889691234191,0.04953013043161999
2011-06-12,-0.6020291839083516,0.019504139327071845,0.030815182250126943,0.008377557191460255,0.027199958692897753,0.013907940114673603,0.01747294458454832,0.008852113235129114,0.04762910160887407
2011-06-13,-0.5752095666571416,0.019198092013911112,0.029939406176842733,0.007409291388741391,0.024678342088567156,0.01623654701478305,0.01777766056993339,0.009490229699392746,0.04972463535514326
2011-06-14,-0.6288222621562103,0.018937803751528884,0.03132675124437982,0.007880908420219096,0.02901309283312935,0.01628158330574842,0.0191055114613219,0.00974806832843449,0.0509638714274393
2011-06-15,-0.6582124508316116,0.019115180263824433,0.031115740042198376,0.008200587014996524,0.026859617604191817,0.015730978580280816,0.019977456442891776,0.009627441559835163,0.047886272568928225
2011-06-16,-0.7033642059296065,0.018329661759293236,0.029810683655287717,0.008470817966789376,0.025592730039455225,0.013635817201275258,0.018215551655477405,0.009601005955435771,0.04570406564525013
2011-06-17,-0.661965738823345,0.018484809189931457,0.03242988729062389,0.008355257817884432,0.025448266589461557,0.014866210150380886,0.018331915429593233,0.00933408371476441,0.04226825951161113
2011-06-18,-0.37165176754623,0.015613412248030818,0.0338394905149882,0.005343913411961792,0.031333899354189655,0.022929575418745338,0.015116346069299036,0.010037738345912156,0.04573367628876657
2011-06-19,-0.7100985458068991,0.019611221294444644,0.03033688231306315,0.008910477168013221,0.028535782564171212,0.014795973878920643,0.020218415251302916,0.010467386552338438,0.04804340139478075
2011-06-20,-0.5923471780412172,0.01967417853817241,0.029744520413235425,0.008826057635875927,0.027478377927498437,0.01593873228251017,0.018768731726334816,0.010288941953938917,0.04624272123867199
2011-06-21,-0.5489309279599278,0.019266584685266746,0.03391359992023611,0.008580113024604364,0.026415285119734615,0.01938080706798065,0.020221885457739314,0.011371581265257938,0.05070198113615115
2011-06-22,-0.6336650717093013,0.02035439175523584,0.033530789165914135,0.008485610498463398,0.026039700067753725,0.0170691239228134,0.019989759571035645,0.011091885742809556,0.05142360835022268
2011-06-23,-0.6083512203556205,0.019576364351831486,0.03211463888061578,0.007220989623121041,0.025910135480924912,0.016863943179566344,0.021645743648325846,0.010176452342619366,0.04729483877762065
2011-06-24,-0.6334425663242156,0.02119560290042781,0.033131224625130136,0.009168667797186796,0.027466863186672463,0.01779924578832699,0.020509047906576355,0.00992564630401926,0.049501381616766475
2011-06-25,-0.667809354515955,0.047484557265579166,0.0409668992150744,0.013566217653808896,0.04700572788164029,0.010432624301237441,0.027728805685010065,0.013668386369116294,0.0600644496994862
2011-06-26,-0.5730823250235138,0.018815293487238115,0.03372665244818307,0.007353986648718767,0.025117235848307034,0.017448710473978574,0.018572441709749265,0.01062828295261732,0.052792676810579225
2011-06-27,-0.6596423849239689,0.021118297669937457,0.03229160458069525,0.009582370195164428,0.027948808304634837,0.01599205692673297,0.022064708426091116,0.009955911253361316,0.05024693358257508
2011-06-28,-0.6666093767618748,0.019404691591422184,0.034350133468170854,0.007818788757506231,0.024722509084041878,0.015952372021486378,0.01999447949366202,0.010621959764613375,0.049421242106336756
2011-06-29,-0.5272410758621975,0.019754211354981007,0.03564730601142308,0.007942226620878649,0.025615637834278348,0.01978307578052766,0.019886090053126675,0.011943852513567584,0.05349305768313088
2011-06-30,-0.7190506325633439,0.026796204431442767,0.03317390688148103,0.010200986350814636,0.03409104487770883,0.017492478756458048,0.020608357744248677,0.011953956707342698,0.05449069865370754
2011-07-01,-0.7872791803000248,0.0240623830809497,0.031608562498387,0.010750335786358213,0.029605738107350253,0.017616759753149944,0.02433559296501445,0.011032455096023658,0.04956724356434887
2011-07-02,-0.9710056107074067,0.04561358657217094,0.03094162834458027,0.005850899931553809,0.05298154165146981,0.014855688866653421,0.023120637497952148,0.01290566901239292,0.04704114624039895
2011-07-03,-0.8799145073557845,0.028219314429628852,0.02944886316161195,0.012673474696842971,0.038122811463416194,0.015334681653531223,0.023636774156823557,0.012415751699581251,0.05178650849863376
2011-07-04,-0.7471222318398368,0.028204165622871015,0.03146403656314891,0.011482308952897445,0.034708737805264914,0.016132785137858017,0.02436298197877891,0.010097505077315827,0.044899268587777506
2011-07-05,-0.7668579798324788,0.02648080793676064,0.025301290352894915,0.008972290443398956,0.038282259433160944,0.011342456107927728,0.025829462428656476,0.01012282413534477,0.04480286519123067
2011-07-06,-0.7811653745034284,0.024413734234767323,0.03509171456387702,0.009806243460273404,0.0320039730034096,0.018286477247246274,0.027253541242314813,0.013364823231235681,0.05098716346837826
2011-07-07,-0.8907730949184316,0.029144339345545535,0.026802032683062298,0.010187207169514548,0.038504738884965035,0.013473875812124853,0.024250571175722657,0.01054914404503664,0.047169227680139446
2011-07-08,-0.7128697288976421,0.023371015057185456,0.031000878945524755,0.01047705040288141,0.03131571796195324,0.014833808890863625,0.023103245265740004,0.01096945800699435,0.04456320369919218
2011-07-09,-0.6987338407681967,0.02118093057160411,0.03810250419284106,0.010658637933600763,0.030391876849076016,0.02225155015775848,0.01920668805191805,0.015914699863977384,0.0499519740832619
2011-07-10,-0.6794506161026105,0.02008971831852375,0.03182999346492105,0.009700250659390423,0.025864605448719782,0.017445397557538805,0.019832330937796284,0.01087617303339442,0.05137491832798763
2011-07-11,-0.7224475501228192,0.01917507480555187,0.03436309489420627,0.00717862839383456,0.02656341871345099,0.01704896291425478,0.02086252714246512,0.00878506746408541,0.051546394132232096
2011-07-12,-0.7476802202485444,0.019764927987692082,0.034258100717140104,0.009649707341611805,0.02739211432990023,0.015879901422662986,0.021706947591952252,0.009997694510082176,0.05219849515835444
2011-07-13,-0.5976680842729872,0.01953398479246156,0.032542556250387954,0.007460426227188828,0.026737886197291515,0.015018424542192899,0.021320163548133497,0.009414144334395207,0.0456716075887542
2011-07-14,-0.7219028796337693,0.022998992611726488,0.03246153257075417,0.008334461842157064,0.02912521447368567,0.01657525904451011,0.0229482425264018,0.01013990409586254,0.05023194522125848
2011-07-15,-0.62560487076254,0.019643036087714037,0.029653598351228286,0.008371200860639215,0.027031442829700915,0.015339315318371701,0.021113733373769365,0.009384860098752425,0.04482719193949425
2011-07-16,-0.9780790635755334,0.021902238522929204,0.02860060328904915,0.010674538136914364,0.028512961868979603,0.011356509856111786,0.02347767635967503,0.007401855564271357,0.05176530359794621
2011-07-17,-0.5808450666803855,0.017094969053123073,0.02888198001799492,0.00755087373760688,0.023205478666400388,0.015063804861609142,0.018220122993812673,0.010222163890849198,0.049651321419215605
2011-07-18,-0.6471219907841599,0.01895153050309777,0.03070754517816879,0.008642817325216436,0.026369776159169533,0.015475259037606522,0.020097158977787976,0.008208164698337678,0.048901816457420505
2011-07-19,-0.5370366885656018,0.017976537816749974,0.032040101306466284,0.007412592351542384,0.024585901938956926,0.015999965604053496,0.020378606985645725,0.01009118878012066,0.04583420203204543
2011-07-20,-0.5604125263395088,0.018774901965065732,0.034137627679163736,0.008708163499221794,0.027030872556989712,0.017563980143363276,0.018425302353448,0.009823779556043681,0.04954522420255183
2011-07-21,-0.6608871077235533,0.02053475006776337,0.033630379919970504,0.00792885162948089,0.026932288664091492,0.015440412606050507,0.022535894251496134,0.010210581331584975,0.04646148210838876
2011-07-22,-0.5590101927041522,0.018578175165647973,0.03614119610790389,0.008464639971990161,0.024913145282690726,0.01858056039950441,0.01838925464136325,0.01260941311578057,0.05037377557154456
2011-07-23,-0.8361150045724538,0.02399501405543814,0.03259869323661679,0.009449148063883538,0.038143975265192795,0.015938750559023555,0.02688514534119211,0.013928638432303474,0.04667892779138655
2011-07-24,-0.6073821756327756,0.024021392295661234,0.030602547622763432,0.008102669540779758,0.03254333726726082,0.015309635960691821,0.020591754793391336,0.01393253337425722,0.05123326003462211
2011-07-25,-0.6121084137460485,0.019415500317441128,0.03221784463723282,0.008634599230920437,0.02725218354918907,0.015527609064476457,0.022729533316913846,0.01028262517671595,0.046859184107169556
2011-07-26,-0.5011663402667602,0.015532265871085598,0.034360879196750564,0.00688798192118235,0.023176333326350093,0.017079966018564714,0.018839616499345523,0.00973260257143709,0.049715203917564656
2011-07-27,-0.6168213301263747,0.0179033230818306,0.036778046095442406,0.007338331680320658,0.027310252339000172,0.01864488692830235,0.023034653930198722,0.012856542160126857,0.04831671658601862
2011-07-28,-0.5914905494979624,0.020185528015957598,0.03610406586955744,0.008991760206954398,0.027461498505537224,0.01551778092954611,0.024077919146760034,0.010248735950485284,0.04604195959268228
